,symbol,id,orderId,side,price,qty,realizedPnl,marginAsset,quoteQty,commission,commissionAsset,time,positionSide,buyer,maker
0,BTCUSDT,2037173312,46817141019,BUY,37800,0.016,0,USDT,604.80000,0.12096000,USDT,1647211795853,LONG,True,True
1,BTCUSDT,2039681537,47003526132,SELL,39029.20,0.002,2.45840000,USDT,78.05840,0.03122336,USDT,1647270538020,LONG,False,False
2,BTCUSDT,2039681538,47003526132,SELL,39029.20,0.014,17.20880000,USDT,546.40880,0.21856352,USDT,1647270538020,LONG,False,False
